2016-11-20 18:23:48 - PHP Notice:  Undefined index: xml in W:\domains\trysi\admin\model\extension\modification.php on line 4
2016-11-20 18:23:48 - PHP Warning:  Cannot modify header information - headers already sent by (output started at W:\domains\trysi\admin\index.php:80) in W:\domains\trysi\system\library\response.php on line 12
2016-11-20 18:25:48 - PHP Notice:  Error: Unknown column 'group' in 'where clause'<br />Error No: 1054<br />UPDATE oc_setting SET `value` = '874' WHERE `group` = 'config' AND `key` = 'config_image_category_width' AND store_id = '0' in W:\domains\trysi\system\library\db\mysqli.php on line 41
2016-11-20 18:25:48 - PHP Notice:  Error: Unknown column 'group' in 'where clause'<br />Error No: 1054<br />UPDATE oc_setting SET `value` = '251' WHERE `group` = 'config' AND `key` = 'config_image_category_height' AND store_id = '0' in W:\domains\trysi\system\library\db\mysqli.php on line 41
2016-11-20 18:25:48 - PHP Notice:  Error: Unknown column 'group' in 'where clause'<br />Error No: 1054<br />UPDATE oc_setting SET `value` = '500' WHERE `group` = 'config' AND `key` = 'config_image_thumb_width' AND store_id = '0' in W:\domains\trysi\system\library\db\mysqli.php on line 41
2016-11-20 18:25:48 - PHP Notice:  Error: Unknown column 'group' in 'where clause'<br />Error No: 1054<br />UPDATE oc_setting SET `value` = '612' WHERE `group` = 'config' AND `key` = 'config_image_thumb_height' AND store_id = '0' in W:\domains\trysi\system\library\db\mysqli.php on line 41
2016-11-20 18:25:48 - PHP Notice:  Error: Unknown column 'group' in 'where clause'<br />Error No: 1054<br />UPDATE oc_setting SET `value` = '500' WHERE `group` = 'config' AND `key` = 'config_image_popup_width' AND store_id = '0' in W:\domains\trysi\system\library\db\mysqli.php on line 41
2016-11-20 18:25:48 - PHP Notice:  Error: Unknown column 'group' in 'where clause'<br />Error No: 1054<br />UPDATE oc_setting SET `value` = '612' WHERE `group` = 'config' AND `key` = 'config_image_popup_height' AND store_id = '0' in W:\domains\trysi\system\library\db\mysqli.php on line 41
2016-11-20 18:25:48 - PHP Notice:  Error: Unknown column 'group' in 'where clause'<br />Error No: 1054<br />UPDATE oc_setting SET `value` = '500' WHERE `group` = 'config' AND `key` = 'config_image_product_width' AND store_id = '0' in W:\domains\trysi\system\library\db\mysqli.php on line 41
2016-11-20 18:25:48 - PHP Notice:  Error: Unknown column 'group' in 'where clause'<br />Error No: 1054<br />UPDATE oc_setting SET `value` = '612' WHERE `group` = 'config' AND `key` = 'config_image_product_height' AND store_id = '0' in W:\domains\trysi\system\library\db\mysqli.php on line 41
2016-11-20 18:25:48 - PHP Notice:  Error: Unknown column 'group' in 'where clause'<br />Error No: 1054<br />UPDATE oc_setting SET `value` = '68' WHERE `group` = 'config' AND `key` = 'config_image_additional_width' AND store_id = '0' in W:\domains\trysi\system\library\db\mysqli.php on line 41
